epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1853.11,0.87881,1.15901,1.13999,0.76577,0.74731,0.82841,0.68898,0.8206,0.9936,1.09667,0.00016995,0.00016995,0.00016995
43,1896.3,0.88045,1.14501,1.14557,0.74396,0.7652,0.81034,0.67406,0.8012,0.98167,1.06127,0.000168412,0.000168412,0.000168412
44,1940.42,0.88132,1.15775,1.13677,0.79377,0.78487,0.91021,0.763,0.75647,0.93328,1.05295,0.000166875,0.000166875,0.000166875
45,1985.12,0.87266,1.1407,1.14468,0.83923,0.73274,0.88814,0.73873,0.75974,0.96142,1.04842,0.000165337,0.000165337,0.000165337
46,2029.28,0.86633,1.12105,1.14394,0.74272,0.75773,0.84547,0.73067,0.74688,1.06641,1.04928,0.000163799,0.000163799,0.000163799
47,2073.02,0.88398,1.1215,1.13886,0.723,0.80911,0.9003,0.76724,0.77393,0.95276,1.06452,0.000162261,0.000162261,0.000162261
48,2116.85,0.85398,1.10587,1.13565,0.85409,0.75187,0.88141,0.73653,0.76149,0.92132,1.06741,0.000160723,0.000160723,0.000160723
49,2160.25,0.87198,1.09958,1.13802,0.65969,0.89443,0.86188,0.71655,0.76653,0.90103,1.06967,0.000159186,0.000159186,0.000159186
50,2204.31,0.8696,1.11373,1.13726,0.83172,0.72915,0.8577,0.70753,0.78048,0.98131,1.0715,0.000157648,0.000157648,0.000157648
51,2247.8,0.84525,1.07292,1.12232,0.68108,0.80321,0.86961,0.71993,0.76221,0.97532,1.07629,0.00015611,0.00015611,0.00015611
52,2291.37,0.85462,1.06056,1.12333,0.7247,0.89497,0.86679,0.71861,0.75226,0.88481,1.04908,0.000154572,0.000154572,0.000154572
53,2334.77,0.84612,1.06265,1.12297,0.82406,0.72064,0.88827,0.74637,0.7545,0.90411,1.0645,0.000153034,0.000153034,0.000153034
54,2378.36,0.83505,1.04856,1.11237,0.72004,0.86088,0.9273,0.76861,0.76851,0.90548,1.0827,0.000151497,0.000151497,0.000151497
55,2422.34,0.8623,1.07519,1.12803,0.74473,0.83024,0.88886,0.76018,0.75874,0.94514,1.06998,0.000149959,0.000149959,0.000149959
56,2466.18,0.847,1.04233,1.11731,0.8553,0.79699,0.90028,0.74748,0.80982,0.92653,1.09304,0.000148421,0.000148421,0.000148421
57,2509.89,0.82279,1.02908,1.10697,0.72619,0.86052,0.86877,0.72726,0.78581,0.94789,1.09038,0.000146883,0.000146883,0.000146883
58,2553.84,0.85074,1.02179,1.11878,0.82774,0.83483,0.87807,0.73006,0.79743,0.86494,1.08643,0.000145345,0.000145345,0.000145345
59,2597.72,0.81726,1.02125,1.11384,0.76618,0.76367,0.85933,0.69957,0.797,0.96197,1.07623,0.000143808,0.000143808,0.000143808
60,2641.57,0.84006,1.01841,1.11666,0.76924,0.77219,0.88621,0.7464,0.76551,0.91813,1.07569,0.00014227,0.00014227,0.00014227
61,2684.98,0.82968,1.01601,1.11403,0.79638,0.73463,0.85002,0.75401,0.73323,0.91562,1.05492,0.000140732,0.000140732,0.000140732
62,2728.59,0.82842,0.98217,1.1089,0.75687,0.79911,0.8366,0.71712,0.78391,0.96382,1.08751,0.000139194,0.000139194,0.000139194
63,2772.52,0.83026,0.98358,1.10829,0.78924,0.82908,0.90821,0.7475,0.76562,0.91978,1.06656,0.000137656,0.000137656,0.000137656
64,2816.53,0.82623,0.99516,1.11326,0.75271,0.83503,0.9126,0.76593,0.76235,0.86764,1.0875,0.000136119,0.000136119,0.000136119
65,2860.72,0.82537,0.98886,1.11113,0.83864,0.74783,0.91553,0.77128,0.77119,0.90894,1.07787,0.000134581,0.000134581,0.000134581
66,2904.36,0.81313,0.97378,1.10474,0.75702,0.77527,0.8398,0.70425,0.80027,0.96796,1.10642,0.000133043,0.000133043,0.000133043
67,2947.85,0.81802,0.96355,1.10598,0.81742,0.74957,0.91183,0.7751,0.75023,0.87099,1.05816,0.000131505,0.000131505,0.000131505
68,2991.51,0.81611,0.97368,1.09926,0.70205,0.8709,0.90479,0.78409,0.74644,0.82883,1.05937,0.000129967,0.000129967,0.000129967
69,3035.25,0.80585,0.94069,1.09137,0.78045,0.73737,0.82817,0.70991,0.75026,1.01538,1.08012,0.00012843,0.00012843,0.00012843
70,3078.85,0.81132,0.94582,1.09818,0.66395,0.83539,0.89211,0.74725,0.76904,0.88749,1.08582,0.000126892,0.000126892,0.000126892
71,3122.47,0.81678,0.95468,1.10542,0.66754,0.87036,0.89602,0.75677,0.74994,0.85456,1.07436,0.000125354,0.000125354,0.000125354
72,3166,0.78651,0.92924,1.09016,0.76077,0.76635,0.8449,0.71841,0.78042,0.89768,1.09879,0.000123816,0.000123816,0.000123816
73,3209.89,0.81135,0.95034,1.10277,0.79491,0.82154,0.88714,0.75347,0.76027,0.82814,1.06104,0.000122278,0.000122278,0.000122278
74,3253.76,0.79107,0.91345,1.08419,0.87396,0.74085,0.85929,0.74639,0.72856,0.85689,1.04187,0.000120741,0.000120741,0.000120741
